year,sat_fat_g_per_capita,veg_oil_g_per_capita,heart_disease_deaths_000s,total_calories
1900,,0.0,,
1901,,0.8,20,
1902,,1.6,21,
1903,,2.4000000000000000,25,
1904,,3.2,30,
1905,,4.0,40,
1906,,4.8,40,
1907,,5.6,50,
1908,,7,55,
1909,50,9,57,3400
1910,49,10,60,3400
1911,49,9.5,63,3400
1912,48,10,65,3400
1913,48,11,70,3400
1914,48,12,80,3400
1915,48,13,90,3300
1916,48,14,90,3300
1917,46,13,100,3200
1918,49,14,110,3300
1919,49,16,115,3300
1920,48,13,120,3200
1921,48,10,120,3100
1922,51,9,130,3400
1923,53,9,145,3400
1924,54,10,150,3400
1925,54,14.0,160,3400
1926,54,14.2,165,3400
1927,54,14.4,175,3400
1928,54,14.6,188,3500
1929,55,14.8,200,3400
1930,54,15.0,220,3400
1931,54,14,225,3400
1932,53,12,230,3300
1933,54,10.5,240,3200
1934,54,12.5,250,3200
1935,52,14.0,255,3200
1936,54,14.4,270,3300
1937,53,14.8,290,3200
1938,53,16.5,310,3200
1939,56,14,325,3300
1940,57,12,345,3300
1941,58,13,355,3400
1942,57,13,360,3300
1943,55,14,375,3400
1944,56,14,385,3400
1945,55,15,390,3300
1946,55,15,400,3300
1947,56,16,410,3300
1948,54,16,420,3200
1949,54,18,430,3200
1950,55,16,440,3200
1951,53,18,460,3200
1952,54,19,480,3200
1953,54,20,505,3200
1954,53,21,540,3100
1955,55,21.5,550,3200
1956,55,19,570,3200
1957,54,17,585,3100
1958,53,18,590,3100
1959,54,19,595,3100
1960,53,19,600,3100
1961,53,33,620,3100
1962,53,32,630,3100
1963,53,35,640,3100
1964,54,35,650,3200
1965,53,36,660,3100
1966,54,38,670,3200
1967,55,39,685,3200
1968,55,39,695,3300
1969,55,40,705,3300
1970,52,43,715,3300
1971,52,46,720,3300
1972,52,45,730,3300
1973,50,46,740,3200
1974,50,45,735,3200
1975,56,48,740,3400
1976,58,47,730,3500
1977,57,48,720,3600
1978,56,57,715,3500
1979,56,58.4,710,3500
1980,56,58.0,715,3500
1981,56,58.4,720,3500
1982,55,58.8,725,3500
1983,57,60,735,3500
1984,59,59.6,740,3600
1985,61,64,750,3700
1986,61,63,760,3700
1987,59,62,770,3800
1988,59,65.5,760,3800
1989,57,66,765,3700
1990,56,65.0,765,3800
1991,55,66.0,760,3800
1992,56,67.0,750,3800
1993,57,67.5,735,3900
1994,56,68,725,3900
1995,56,66,710,3900
1996,55,64,715,3900
1997,54,65,720,3900
1998,56,64.5,730,3900
1999,58,68,725,4000
2000,62,72,725,4200
2001,61,75.6,720,4100
2002,63,76.2,720,4200
2003,64,73,710,4200
2004,64,77.4,710,4200
2005,61,78.0,705,4100
2006,62,78.4,700,4100
2007,61,79,685,4100
2008,60,81.5,670,4100
2009,57,80.5,655,4000
2010,59,80.0,640,4000
2011,,,630,
2012,,,615,
2013,,,610,
2014,,,600,
2015,,,600,
2016,,,605,
2017,,,605,
2018,,,605,
2019,,,610,
2020,,,610,
